epoch,step,train/loss,val/auroc_bbb,val/auroc_cyp3a4,val/auroc_herg,val/cls_loss,val/mae_caco2,val/mae_clearance,val/reg_loss,val/rmse_caco2,val/rmse_clearance
42,14834,,0.8871732950210571,0.9273935556411743,0.8491483926773071,0.6001158952713013,0.48870888352394104,0.9724991321563721,17.684633255004883,0.6326141953468323,1.2637269496917725
43,14849,0.6600907444953918,,,,,,,,,
43,14899,0.6418591141700745,,,,,,,,,
43,14949,0.6900797486305237,,,,,,,,,
43,14999,0.6128241419792175,,,,,,,,,
43,15049,0.6832201480865479,,,,,,,,,
43,15099,0.6175675988197327,,,,,,,,,
43,15149,0.6476991772651672,,,,,,,,,
43,15179,,0.8881131410598755,0.927075982093811,0.8476781845092773,0.6021293997764587,0.4963873028755188,0.9644730687141418,17.781051635742188,0.6352555155754089,1.2530293464660645
44,15199,0.6623807549476624,,,,,,,,,
44,15249,0.6338356137275696,,,,,,,,,
44,15299,0.7111111283302307,,,,,,,,,
44,15349,0.5929847955703735,,,,,,,,,
44,15399,0.6886895298957825,,,,,,,,,
44,15449,0.6602811217308044,,,,,,,,,
44,15499,0.6286733150482178,,,,,,,,,
44,15524,,0.8904851078987122,0.9253557324409485,0.8542701601982117,0.5984992980957031,0.4923461079597473,0.9546431303024292,17.94704246520996,0.6294052600860596,1.247556447982788
45,15549,0.5924448370933533,,,,,,,,,
45,15599,0.6027132272720337,,,,,,,,,
45,15649,0.6924107074737549,,,,,,,,,
45,15699,0.6035173535346985,,,,,,,,,
45,15749,0.5796140432357788,,,,,,,,,
45,15799,0.7161996364593506,,,,,,,,,
45,15849,0.6379159092903137,,,,,,,,,
45,15869,,0.8767901659011841,0.9236695766448975,0.8468672633171082,0.6058884859085083,0.47216543555259705,0.9422317743301392,17.691186904907227,0.5941957831382751,1.2341258525848389
46,15899,0.6023697853088379,,,,,,,,,
46,15949,0.6631963849067688,,,,,,,,,
46,15999,0.5918626189231873,,,,,,,,,
46,16049,0.6470462083816528,,,,,,,,,
46,16099,0.5818114280700684,,,,,,,,,
46,16149,0.6543217897415161,,,,,,,,,
46,16199,0.5702013969421387,,,,,,,,,
46,16214,,0.8732097744941711,0.927289605140686,0.8456792235374451,0.5979609489440918,0.4758220911026001,0.9561407566070557,17.681495666503906,0.6128663420677185,1.2448776960372925
47,16249,0.7229153513908386,,,,,,,,,
47,16299,0.6771069765090942,,,,,,,,,
47,16349,0.5843229293823242,,,,,,,,,
47,16399,0.6512094736099243,,,,,,,,,
47,16449,0.6575758457183838,,,,,,,,,
47,16499,0.5763742327690125,,,,,,,,,
47,16549,0.5766754150390625,,,,,,,,,
47,16559,,0.8771034479141235,0.9298614859580994,0.8442855477333069,0.6021880507469177,0.46494537591934204,0.9660653471946716,18.280996322631836,0.5997120141983032,1.252983808517456
48,16599,0.6241956949234009,,,,,,,,,
48,16649,0.6982393264770508,,,,,,,,,
48,16699,0.6361972689628601,,,,,,,,,
48,16749,0.6547110080718994,,,,,,,,,
48,16799,0.6433027982711792,,,,,,,,,
48,16849,0.616759181022644,,,,,,,,,
48,16899,0.5971981287002563,,,,,,,,,
48,16904,,0.872583270072937,0.9289499521255493,0.8429188132286072,0.6051025986671448,0.4585878849029541,0.9518188238143921,17.965129852294922,0.5861316919326782,1.244791030883789
49,16949,0.6617971062660217,,,,,,,,,
49,16999,0.6308773756027222,,,,,,,,,
49,17049,0.6524485945701599,,,,,,,,,
49,17099,0.642970085144043,,,,,,,,,
49,17149,0.5645744800567627,,,,,,,,,
49,17199,0.601740300655365,,,,,,,,,
49,17249,0.527499258518219,,,,,,,,,
49,17249,,0.8823845386505127,0.9261758923530579,0.8478728532791138,0.599651038646698,0.494150847196579,0.9588493704795837,17.799991607666016,0.6136344075202942,1.260076880455017
