epoch,step,train/loss,val/auroc_bbb,val/auroc_cyp3a4,val/auroc_herg,val/cls_loss,val/mae_caco2,val/mae_clearance,val/mse_caco2,val/mse_clearance,val/reg_loss,val/rmse_caco2,val/rmse_clearance
17,6199,0.7467448115348816,,,,,,,,,,,
17,6209,,0.9056122303009033,0.9229005575180054,0.8343020081520081,0.6025481820106506,0.44585496187210083,0.9136757254600525,0.30046653747558594,1.3799339532852173,0.9157048463821411,0.5481482744216919,1.1747058629989624
18,6249,0.7947255373001099,,,,,,,,,,,
18,6299,0.630645751953125,,,,,,,,,,,
18,6349,0.6507859230041504,,,,,,,,,,,
18,6399,0.7526748776435852,,,,,,,,,,,
18,6449,0.7499863505363464,,,,,,,,,,,
18,6499,0.6774704456329346,,,,,,,,,,,
18,6549,0.6668016910552979,,,,,,,,,,,
18,6554,,0.9037325382232666,0.923003077507019,0.8325852751731873,0.6025927066802979,0.4336915612220764,0.9178696870803833,0.27204036712646484,1.4513131380081177,0.9381187558174133,0.5215749144554138,1.2047046422958374
19,6599,0.6519835591316223,,,,,,,,,,,
19,6649,0.617818295955658,,,,,,,,,,,
19,6699,0.6338520050048828,,,,,,,,,,,
19,6749,0.7108102440834045,,,,,,,,,,,
19,6799,0.7024528980255127,,,,,,,,,,,
19,6849,0.7222931385040283,,,,,,,,,,,
19,6899,0.7350990772247314,,,,,,,,,,,
19,6899,,0.9052094221115112,0.9224989414215088,0.830597460269928,0.6028814315795898,0.42996957898139954,0.9132121801376343,0.2719067931175232,1.4260650873184204,0.9216684699058533,0.5214468240737915,1.194179654121399
20,6949,0.6582246422767639,,,,,,,,,,,
20,6999,0.6797216534614563,,,,,,,,,,,
20,7049,0.6717906594276428,,,,,,,,,,,
20,7099,0.70923912525177,,,,,,,,,,,
20,7149,0.6677466034889221,,,,,,,,,,,
20,7199,0.6644536256790161,,,,,,,,,,,
20,7244,,0.9011367559432983,0.9255265593528748,0.8333986401557922,0.603407084941864,0.4521314203739166,0.9198935031890869,0.3303804099559784,1.4556005001068115,0.9576761722564697,0.5747872591018677,1.2064826488494873
21,7249,0.7794916033744812,,,,,,,,,,,
21,7299,0.7622919678688049,,,,,,,,,,,
21,7349,0.7361766695976257,,,,,,,,,,,
21,7399,0.7180742621421814,,,,,,,,,,,
21,7449,0.7815683484077454,,,,,,,,,,,
21,7499,0.7568157911300659,,,,,,,,,,,
21,7549,0.7448932528495789,,,,,,,,,,,
21,7589,,0.8920963406562805,0.9272910356521606,0.837073564529419,0.6043524146080017,0.45552393794059753,0.954188883304596,0.29921260476112366,1.4969538450241089,0.9723193645477295,0.5470032691955566,1.2235006093978882
22,7599,0.7270656228065491,,,,,,,,,,,
22,7649,0.7333173155784607,,,,,,,,,,,
22,7699,0.7155389785766602,,,,,,,,,,,
22,7749,0.6396999359130859,,,,,,,,,,,
22,7799,0.7141340374946594,,,,,,,,,,,
22,7849,0.7940319776535034,,,,,,,,,,,
22,7899,0.7384145259857178,,,,,,,,,,,
22,7934,,0.8960346579551697,0.9257572889328003,0.8454833030700684,0.6031328439712524,0.4665845036506653,0.9509152770042419,0.3358549177646637,1.478670358657837,0.9819254279136658,0.579529881477356,1.2160059213638306
23,7949,0.6660656332969666,,,,,,,,,,,
